Epoch 1, Train Loss: 0.7849, Val Loss: 0.6913
Epoch 2, Train Loss: 0.6348, Val Loss: 0.5956
Epoch 3, Train Loss: 0.5660, Val Loss: 0.5403
Epoch 4, Train Loss: 0.5082, Val Loss: 0.4822
Epoch 5, Train Loss: 0.4566, Val Loss: 0.4411
Epoch 6, Train Loss: 0.4103, Val Loss: 0.3855
Epoch 7, Train Loss: 0.3701, Val Loss: 0.3721
Epoch 8, Train Loss: 0.3303, Val Loss: 0.3305
Epoch 9, Train Loss: 0.2986, Val Loss: 0.2962
Epoch 10, Train Loss: 0.2659, Val Loss: 0.2541
Epoch 11, Train Loss: 0.2370, Val Loss: 0.2238
Epoch 12, Train Loss: 0.2113, Val Loss: 0.2063
Epoch 13, Train Loss: 0.1908, Val Loss: 0.1957
Epoch 14, Train Loss: 0.1700, Val Loss: 0.1814
Epoch 15, Train Loss: 0.1544, Val Loss: 0.1590
Epoch 16, Train Loss: 0.1407, Val Loss: 0.1514
Epoch 17, Train Loss: 0.1293, Val Loss: 0.1370
Epoch 18, Train Loss: 0.1160, Val Loss: 0.1289
Epoch 19, Train Loss: 0.1102, Val Loss: 0.1289
Epoch 20, Train Loss: 0.1004, Val Loss: 0.1114
Epoch 21, Train Loss: 0.0930, Val Loss: 0.1080
Epoch 22, Train Loss: 0.0845, Val Loss: 0.0956
Epoch 23, Train Loss: 0.0781, Val Loss: 0.0919
Epoch 24, Train Loss: 0.0748, Val Loss: 0.0905
Epoch 25, Train Loss: 0.0714, Val Loss: 0.0837
Epoch 26, Train Loss: 0.0677, Val Loss: 0.0832
Epoch 27, Train Loss: 0.0629, Val Loss: 0.0798
Epoch 28, Train Loss: 0.0610, Val Loss: 0.0745
Epoch 29, Train Loss: 0.0548, Val Loss: 0.0786
Epoch 30, Train Loss: 0.0548, Val Loss: 0.0733
Epoch 31, Train Loss: 0.0521, Val Loss: 0.0702
Epoch 32, Train Loss: 0.0477, Val Loss: 0.0655
Epoch 33, Train Loss: 0.0462, Val Loss: 0.0683
Epoch 34, Train Loss: 0.0440, Val Loss: 0.0657
Epoch 35, Train Loss: 0.0417, Val Loss: 0.0621
Epoch 36, Train Loss: 0.0401, Val Loss: 0.0625
Epoch 37, Train Loss: 0.0416, Val Loss: 0.0566
Epoch 38, Train Loss: 0.0367, Val Loss: 0.0534
Epoch 39, Train Loss: 0.0356, Val Loss: 0.0560
Epoch 40, Train Loss: 0.0327, Val Loss: 0.0477
Epoch 41, Train Loss: 0.0318, Val Loss: 0.0476
Epoch 42, Train Loss: 0.0347, Val Loss: 0.0487
Epoch 43, Train Loss: 0.0328, Val Loss: 0.0468
Epoch 44, Train Loss: 0.0326, Val Loss: 0.0421
Epoch 45, Train Loss: 0.0294, Val Loss: 0.0435
Epoch 46, Train Loss: 0.0263, Val Loss: 0.0414
Epoch 47, Train Loss: 0.0296, Val Loss: 0.0425
Epoch 48, Train Loss: 0.0290, Val Loss: 0.0399
Epoch 49, Train Loss: 0.0255, Val Loss: 0.0413
Epoch 50, Train Loss: 0.0267, Val Loss: 0.0421
